layer_name	block_id	offset	len	block_shape	dtype	content_hash
model.layers.0.self_attn.attn	30	0	65536	2x8x16x128	torch.bfloat16	c494d2c98e2668227a8f9a6e0f86e9b46297b086a8b025909b3228b385cc77e0
model.layers.0.self_attn.attn	31	65536	65536	2x8x16x128	torch.bfloat16	4f24bc6338572e82af3fcf5f0f0f6cb6516d6c8e505b94296c0c20167a4c7ef6
model.layers.0.self_attn.attn	32	131072	65536	2x8x16x128	torch.bfloat16	a0d2246f6506048336bba07bb69850dd7f9135f5901a520166f9bcb314d4ef36
model.layers.0.self_attn.attn	33	196608	65536	2x8x16x128	torch.bfloat16	556f0df2287396e16befa55fa2730b5010006502d94428e83b6461601a00858b
model.layers.0.self_attn.attn	34	262144	65536	2x8x16x128	torch.bfloat16	49270b0dc062b541491dc10c71b65a5d35da94b2db4b3da40bc0acc3481ba946
model.layers.0.self_attn.attn	35	327680	65536	2x8x16x128	torch.bfloat16	3051cb3892d8e0c13a664917a234f5ea7e8bde369aeaade92f9bc831d85c5a4d
model.layers.0.self_attn.attn	36	393216	65536	2x8x16x128	torch.bfloat16	ef1046c6b155b582239945da6ec0bb43afca0315eb66bf7f765a6fda18e94ae5
model.layers.0.self_attn.attn	37	458752	65536	2x8x16x128	torch.bfloat16	a3df7694f8121d0b6517e22bc8b592704c8cb7cfe7e4359ad6e2781467a67980
model.layers.0.self_attn.attn	38	524288	65536	2x8x16x128	torch.bfloat16	a6478998ebbb9401b264bce14b0d8e53ed6724b92ee3c6cfda7bd052fba370a4
model.layers.0.self_attn.attn	39	589824	65536	2x8x16x128	torch.bfloat16	e1390eb84883a8433ceccde8cb51a320f353f80bf6a7b6942e0c46594ad476d5
model.layers.0.self_attn.attn	40	655360	65536	2x8x16x128	torch.bfloat16	1518e780baa616e7513d52952796cdfebdaf29f1f9c58eaa70e84179907482fa
model.layers.0.self_attn.attn	41	720896	65536	2x8x16x128	torch.bfloat16	4adb4200b2601dd67fc0ccd1d894c2823292e678d4f980bb12b39ee61b959d74
model.layers.0.self_attn.attn	42	786432	65536	2x8x16x128	torch.bfloat16	3d24d467e5d9c549f283a9b4f8d33e0a1c7810b144ffd0ae80b2bc32ac46d50b
model.layers.0.self_attn.attn	43	851968	65536	2x8x16x128	torch.bfloat16	9928adbd632e19715c0c1f4391671d45a73634d00ea8fa962500b6828684e209
model.layers.0.self_attn.attn	44	917504	65536	2x8x16x128	torch.bfloat16	9e688fa66c5806bffb996cd9b8318ae6d23b58fb365d4ecee857fe0c875311df
model.layers.0.self_attn.attn	45	983040	65536	2x8x16x128	torch.bfloat16	c42fb03a135738dc263cde2822f3bf69f5eee6392963f1cd6390ff50e99a5cc7
model.layers.0.self_attn.attn	46	1048576	65536	2x8x16x128	torch.bfloat16	08b220b70187851c58fc182670af177e1c22faf1a4cc1047a1e6dcf84b0abfc7
model.layers.0.self_attn.attn	47	1114112	65536	2x8x16x128	torch.bfloat16	cf3f367179a7bb56ba82ec2e4805f473fa9a711acd6ab06505cd10d67d519aa2
model.layers.0.self_attn.attn	48	1179648	65536	2x8x16x128	torch.bfloat16	6aa4ffcef4fb1c2520fd12d25e8f1f6a0f1dd9ae07623dae1da4f4f0189c741a
model.layers.0.self_attn.attn	49	1245184	65536	2x8x16x128	torch.bfloat16	19e55db92b732910bc25dcd364d1b3667aa850e434f6d58eb2b0a4453e502e85
model.layers.0.self_attn.attn	50	1310720	65536	2x8x16x128	torch.bfloat16	287c2f61a31e62333f8956ebd71fc1d4b079ba8169409274f9c60011fd207b66
model.layers.0.self_attn.attn	51	1376256	65536	2x8x16x128	torch.bfloat16	e8711607dd242d9b17433bceec999898d9344796bbebe5a327e1ea08e3651a91
model.layers.0.self_attn.attn	52	1441792	65536	2x8x16x128	torch.bfloat16	625c0492280217aa32f37e0583cd36c8adf6c305b6459d973a0ca4eecb9d09db
model.layers.0.self_attn.attn	53	1507328	65536	2x8x16x128	torch.bfloat16	2feaf3409a82ef146aacfd6e92ea59943bf2f74b2db83dda79676d6f1ef97614
model.layers.0.self_attn.attn	54	1572864	65536	2x8x16x128	torch.bfloat16	725a6bf4d6b5885a592dcf683dcebd833896eafe785d08d46a4b49f75e8c7293
model.layers.0.self_attn.attn	55	1638400	65536	2x8x16x128	torch.bfloat16	e7dcd3751dc08623ef515b7aa7898b0fcf736f54693a08e84c50822403253b0c
model.layers.0.self_attn.attn	56	1703936	65536	2x8x16x128	torch.bfloat16	968672c9ddd34c681665926f2874177b7bb37c7c6dcb15a93ed55da1332d8d02
model.layers.0.self_attn.attn	57	1769472	65536	2x8x16x128	torch.bfloat16	dbc1658d5c5e2dfb7d4a04ba20e85e10b0824f9dfe84cdbb37485810e10a180b
model.layers.0.self_attn.attn	58	1835008	65536	2x8x16x128	torch.bfloat16	fbb0ecf2f16bd53ec8d98cc6ef7d3df5d2c194b71a2ccf3abb45bad243ff6d39
model.layers.0.self_attn.attn	59	1900544	65536	2x8x16x128	torch.bfloat16	689a4482fc8d02b4531c43645d207f5455c6c9579c7480b81cc9595636ef8f08
model.layers.0.self_attn.attn	60	1966080	65536	2x8x16x128	torch.bfloat16	25f47ca24236018f7a5d8d7920af668c3d105996aa1cc329fc35149ea4b37023
model.layers.0.self_attn.attn	61	2031616	65536	2x8x16x128	torch.bfloat16	bf0f6996b8b3c9a8dd65805e8e12f70a1f17db986f15e404cc626e9b53d31dca
model.layers.0.self_attn.attn	62	2097152	65536	2x8x16x128	torch.bfloat16	2d16a2bafbfe4f348af630028eca08094bdc7dcb2a8e9355e7e9558fc9edd037
model.layers.0.self_attn.attn	63	2162688	65536	2x8x16x128	torch.bfloat16	f773962ae4dcce161c9bf80f14255959ad642d0054822a65409ceae74653b06c
model.layers.0.self_attn.attn	64	2228224	65536	2x8x16x128	torch.bfloat16	670462c856b00ab4606e044ca947edaebd7462fab47a4bf4d9b69d8681324ee0
model.layers.0.self_attn.attn	65	2293760	65536	2x8x16x128	torch.bfloat16	a702f27f6bd1587b0835d66269a7370e6276b97f93c47f160acf42cf023b7c98
model.layers.0.self_attn.attn	66	2359296	65536	2x8x16x128	torch.bfloat16	2e723e19be758c2b1fbfc39dc922345304727dd4b8de720d45666ed33fbdbb65
model.layers.0.self_attn.attn	67	2424832	65536	2x8x16x128	torch.bfloat16	032e5b34c4673cd94e9cd5fe9c8aaebef6919fed8711238e814220a7179b051c
model.layers.0.self_attn.attn	68	2490368	65536	2x8x16x128	torch.bfloat16	019496470459f725bcb38c2e663be3f1d87ee61ed5d2b51dda17865eae2dc9cb
model.layers.0.self_attn.attn	69	2555904	65536	2x8x16x128	torch.bfloat16	feb3296c262c706bcc2b69fa43c499158b5eba449463bcb6c8d28f04b528b491
model.layers.0.self_attn.attn	70	2621440	65536	2x8x16x128	torch.bfloat16	c60de4b0e4064ebd0119004a61bc7d02fe5d19f5ac8b9458383681642bceac8c
model.layers.0.self_attn.attn	71	2686976	65536	2x8x16x128	torch.bfloat16	0abb0d2f3b548ac9c3348e4f28e54870cd4ba143015094410fbb4db90937fb74
model.layers.0.self_attn.attn	72	2752512	65536	2x8x16x128	torch.bfloat16	47694fc8e1d841d3e7711fb89a677a93fc842b1a792046b7e3159a685be6121b
model.layers.0.self_attn.attn	73	2818048	65536	2x8x16x128	torch.bfloat16	c097cbc569973d112d289a1991f73ffe3a34cccce77d0408faf7394e29f7b71e
model.layers.0.self_attn.attn	74	2883584	65536	2x8x16x128	torch.bfloat16	7a02152d5915d3a96f19b192ca78ea21be0e495b0b2e3d6793c47d4b07000897
model.layers.0.self_attn.attn	75	2949120	65536	2x8x16x128	torch.bfloat16	99235f2cc01a084a5cac15904d9ba502f1be918b74a91429a32ce652b3896132
model.layers.0.self_attn.attn	76	3014656	65536	2x8x16x128	torch.bfloat16	5029ea8a860227c884a7900294fbfbdb03effa3fae4e0a9bb267adad5a127c50
model.layers.0.self_attn.attn	77	3080192	65536	2x8x16x128	torch.bfloat16	a5b74ae620f3b00aec2ecd30739ba251421ebc3e12fcd8c055493ff6882b5f64
model.layers.0.self_attn.attn	78	3145728	65536	2x8x16x128	torch.bfloat16	8807133ce52abaf444fa1b07db815a3db861b9c53bc4db5059ddca2633e2c49d
model.layers.0.self_attn.attn	79	3211264	65536	2x8x16x128	torch.bfloat16	b377a39e3dc091981ffcb0d2fe4a0786d4e5ffae74a383362745598f4038082d
model.layers.1.self_attn.attn	30	3276800	65536	2x8x16x128	torch.bfloat16	e35dc122aff04623e176f9af527287d3282dffce4f70d34bd0fb7da13dbf6c0a
model.layers.1.self_attn.attn	31	3342336	65536	2x8x16x128	torch.bfloat16	63723c0165070d4068c8ecd29002ae10049ae32742f4f6cb2dda5455eb8ef593
model.layers.1.self_attn.attn	32	3407872	65536	2x8x16x128	torch.bfloat16	bc097cf60d40d03d0906cdf5b28de4e4dd2e4c9c4a10fd55b038e4fc5a2d5550
model.layers.1.self_attn.attn	33	3473408	65536	2x8x16x128	torch.bfloat16	38f88e23b5bd6dc4bcc6cf54a2cc2245f3915ead6d68b9fe092c1f45e29d3102
model.layers.1.self_attn.attn	34	3538944	65536	2x8x16x128	torch.bfloat16	4a2ca6fab350e45813275df8c34270b089ae0d3253088134ae33f799955eae04
model.layers.1.self_attn.attn	35	3604480	65536	2x8x16x128	torch.bfloat16	9a9b33cd660e794dde865ca00e87e3664b9f0e8418ca896117a002b211e9a875
model.layers.1.self_attn.attn	36	3670016	65536	2x8x16x128	torch.bfloat16	ac8e61cdf6b99b8282cbf96718f6584a8a47caa676638f2b7ec5979b6bee5e61
model.layers.1.self_attn.attn	37	3735552	65536	2x8x16x128	torch.bfloat16	0cdaa191b9c2f89b63dd21532e68af746ae7351071b9b1a7350ba17b242ea443
model.layers.1.self_attn.attn	38	3801088	65536	2x8x16x128	torch.bfloat16	ae0c4ac1855f476ea818fa289fbb8a77894d263185a8504a72f8ad4e3b3c9556
model.layers.1.self_attn.attn	39	3866624	65536	2x8x16x128	torch.bfloat16	1d3444187d494bb27ab80775c1bf3938e31bac1b116218778f43540e94a26dde
model.layers.1.self_attn.attn	40	3932160	65536	2x8x16x128	torch.bfloat16	cc58ece9ae62ec67f8d31e70b811d1fa8230a2eda54dd2e053d63ff2796c033b
model.layers.1.self_attn.attn	41	3997696	65536	2x8x16x128	torch.bfloat16	1489c2b1ccb9e8a0c46d6f9d2a267157d06c6b2eb06fb890a5567d852809b069
model.layers.1.self_attn.attn	42	4063232	65536	2x8x16x128	torch.bfloat16	62cf9043a9a2f9636311e3a8a1a2c2ca5449f4aa205e811d996c43d913e6e7f6
model.layers.1.self_attn.attn	43	4128768	65536	2x8x16x128	torch.bfloat16	261a61c2169ac3ca282a06f3c70a73c08581fcf6e7641cf5dc26eeb043294413
model.layers.1.self_attn.attn	44	4194304	65536	2x8x16x128	torch.bfloat16	d492f5753b8e90511a986f31536b3cab8e287572c2fc591be99b00f5e98fdf32
model.layers.1.self_attn.attn	45	4259840	65536	2x8x16x128	torch.bfloat16	71e0e25b01166f9d7e90b75a4a6d023d5344046161a2f08025cfd4a3d7bbedfb
model.layers.1.self_attn.attn	46	4325376	65536	2x8x16x128	torch.bfloat16	d9fbab342280348b415e2ec4dccf7a8bfb4777eed5ff04645ef3788daaa31d6f
model.layers.1.self_attn.attn	47	4390912	65536	2x8x16x128	torch.bfloat16	a2ec12afcbaffaec8fb6840d7328616bee54ed552d0385c612410a4b9602b48d
model.layers.1.self_attn.attn	48	4456448	65536	2x8x16x128	torch.bfloat16	5fbc102027959a46c4f4a10cdc9dc8c66fc0d49715a4cb7f1069310381da4ef2
model.layers.1.self_attn.attn	49	4521984	65536	2x8x16x128	torch.bfloat16	42db4227b15ed290a7406488a21d9a69d0c5238e1860630f21afaead78445fae
model.layers.1.self_attn.attn	50	4587520	65536	2x8x16x128	torch.bfloat16	a2feb75ca256ae9af53de39a399a3f7f6216ac78050b10de0e7e13fa0e977741
model.layers.1.self_attn.attn	51	4653056	65536	2x8x16x128	torch.bfloat16	47494424c8f82810c695161a79b8c4867d4ce9dcc91025f29897987e62f62194
model.layers.1.self_attn.attn	52	4718592	65536	2x8x16x128	torch.bfloat16	d8500baf459feff7a5646bd8e57e1bccfc32da701e8bcd3e54acdb419ef1a399
model.layers.1.self_attn.attn	53	4784128	65536	2x8x16x128	torch.bfloat16	1406043bb3f803463fa264d630ff7c4ec997716c957ec19665b776226b9f46c3
model.layers.1.self_attn.attn	54	4849664	65536	2x8x16x128	torch.bfloat16	62632d90f2d848a3abfdb92cf8652c090bd61081544f30b224bcd949895b8973
model.layers.1.self_attn.attn	55	4915200	65536	2x8x16x128	torch.bfloat16	ed0374aee9834395637588fa753e1d33826af5b93f995ac13ba428fbb0cc5165
model.layers.1.self_attn.attn	56	4980736	65536	2x8x16x128	torch.bfloat16	afe5c6451a5e8612977b94e5fde182e08fb2330cf4a99eb6c7a11bc9df75cd83
model.layers.1.self_attn.attn	57	5046272	65536	2x8x16x128	torch.bfloat16	b0044e1569faa3b875daf7595b80d62e20f2b0e591d46da4757a1598842cd5cf
model.layers.1.self_attn.attn	58	5111808	65536	2x8x16x128	torch.bfloat16	4bb15c1fef6bd8ae6af5721533be74194c3489f5b14e0a8a51ac9ec98f79134d
model.layers.1.self_attn.attn	59	5177344	65536	2x8x16x128	torch.bfloat16	017eeb06d82590fc13cc5d8e5c3765dfa84ff5db376e677bf237b67eb13e607a
model.layers.1.self_attn.attn	60	5242880	65536	2x8x16x128	torch.bfloat16	e42787e376bd2a0968037f61ffd5569901d274e6dd2968832aeaa654d0112afe
model.layers.1.self_attn.attn	61	5308416	65536	2x8x16x128	torch.bfloat16	8630b359e73d77ef4210bf4b218f49255138ba3a56f0c94fad665fb08466dd6a
model.layers.1.self_attn.attn	62	5373952	65536	2x8x16x128	torch.bfloat16	32323ac7a7c9e209736aa4f1607b1db3024973587f5b021c1351e21e01ec7e27
model.layers.1.self_attn.attn	63	5439488	65536	2x8x16x128	torch.bfloat16	86543aa1c387ad87e97d5e98ade3560e52e1a4275202c8952f3e800f80ed59d4
model.layers.1.self_attn.attn	64	5505024	65536	2x8x16x128	torch.bfloat16	fa279008931a98e5306c78a156d20b37cb0699a3065d9fd4d00ec33df42a6c32
model.layers.1.self_attn.attn	65	5570560	65536	2x8x16x128	torch.bfloat16	4d9806495816ab2be1f083f9444824b8b627e5a4470a3e89c087744e924f9869
model.layers.1.self_attn.attn	66	5636096	65536	2x8x16x128	torch.bfloat16	014072ad115082f11ff51cf82158b9166296ed180fae9032a734fb3196b6c8e2
model.layers.1.self_attn.attn	67	5701632	65536	2x8x16x128	torch.bfloat16	0f5e5dff7265500ffc2e3471bc2f992dfd27ece482de4bec302aa6a3a2e25e26
model.layers.1.self_attn.attn	68	5767168	65536	2x8x16x128	torch.bfloat16	d549dff406f7c81776b883faad46ac064fde823fb6062c58fb0e430a98439379
model.layers.1.self_attn.attn	69	5832704	65536	2x8x16x128	torch.bfloat16	837a29026f95fea8f391c44a5cb89c23641f0ecb6b1765779413d506da32d29b
model.layers.1.self_attn.attn	70	5898240	65536	2x8x16x128	torch.bfloat16	84a095c81b04587cb8d0a0ddb4a0a0161814efa56d96567c05d0cb169c61edd2
model.layers.1.self_attn.attn	71	5963776	65536	2x8x16x128	torch.bfloat16	dc817639adae647531e5dbe98e371a7dc2e3e0da804a1d1e4dae043d084de77b
model.layers.1.self_attn.attn	72	6029312	65536	2x8x16x128	torch.bfloat16	afdbc087f53dd193b7951d344332e5da76b9aaff7c2cb57736d1214af5a235ab
model.layers.1.self_attn.attn	73	6094848	65536	2x8x16x128	torch.bfloat16	d804f64aa3a65136377806b17a0936876b4b6e0df99869bce70521ece364d406
model.layers.1.self_attn.attn	74	6160384	65536	2x8x16x128	torch.bfloat16	16f0cc52b24e796ddd53dfd079c322cd07195b16db64c2344739f9a2b173a3c4
model.layers.1.self_attn.attn	75	6225920	65536	2x8x16x128	torch.bfloat16	0753d682a7d8188ec315f23676f4b00e251afb6518b0782f6f4a1d7edca67010
model.layers.1.self_attn.attn	76	6291456	65536	2x8x16x128	torch.bfloat16	e47bfb0b4ced0f4c08f13740f4adbd72c19261bf6cd4cb0f0bf91cb3ebbb781a
model.layers.1.self_attn.attn	77	6356992	65536	2x8x16x128	torch.bfloat16	6e326af2190049676a53c7959097880eb29cbdbf4ab3ba4b7e3b56b1bfa2a3ad
model.layers.1.self_attn.attn	78	6422528	65536	2x8x16x128	torch.bfloat16	edd6cea1e40d07f0c66000afacffe617a1f9dbf1c95f06b801c5059786198787
model.layers.1.self_attn.attn	79	6488064	65536	2x8x16x128	torch.bfloat16	20919f3d269f6d9d5a0f06e39c6e591c0f98c33e7bb184288abad4b738f37ed4
model.layers.2.self_attn.attn	30	6553600	65536	2x8x16x128	torch.bfloat16	848f2c2e32e6c1d480be69d7ec3088ad275a0c7f819f5cc437ba597be4b2c28f
model.layers.2.self_attn.attn	31	6619136	65536	2x8x16x128	torch.bfloat16	f1a61f781a377f09957684090b433e92ce22036b6a6fc2541f83af1bb1791cfb
model.layers.2.self_attn.attn	32	6684672	65536	2x8x16x128	torch.bfloat16	88073aa89e2feac0f7a31270b1f4ba4f98adfc804494458346bf726b9c7bcf26
model.layers.2.self_attn.attn	33	6750208	65536	2x8x16x128	torch.bfloat16	f1e2d0dee771d13fa82833a98598099916e1e0a029f9cbe5868be86fb44ca4a3
model.layers.2.self_attn.attn	34	6815744	65536	2x8x16x128	torch.bfloat16	dd51de904495cee355a2b590fbabae4f3b666a71d6aeba8b77f8fb97f9ba2971
model.layers.2.self_attn.attn	35	6881280	65536	2x8x16x128	torch.bfloat16	ab881963b90d09134ecb63221ad66775ded55043c98f30b7e869e229880afeef
model.layers.2.self_attn.attn	36	6946816	65536	2x8x16x128	torch.bfloat16	5caa1239e11b4a9735cb51fec55806fa8c3e4dace1d7ed7c3b8e8d089b5bbc40
model.layers.2.self_attn.attn	37	7012352	65536	2x8x16x128	torch.bfloat16	e727994a5d1bd084cfd8cc689c409f95e7f41df0cc1f0de504055f74f25d8479
model.layers.2.self_attn.attn	38	7077888	65536	2x8x16x128	torch.bfloat16	1f13ad799cf725dd4e65ad22a2a659da15938eafe96f081e28c25ff88eb792b0
model.layers.2.self_attn.attn	39	7143424	65536	2x8x16x128	torch.bfloat16	124cd5713d8bf05a8e876a3b4b9609e84aaf38b2ec17b1418c4e76df75224332
model.layers.2.self_attn.attn	40	7208960	65536	2x8x16x128	torch.bfloat16	eac61321a03218f947c32b4e8de9fc3d4522353ba83a32bfffad0b3de088615c
model.layers.2.self_attn.attn	41	7274496	65536	2x8x16x128	torch.bfloat16	4d0582bae9a7e954af178750586e99e531a430cb856ced27789a8be66a0e4c8d
model.layers.2.self_attn.attn	42	7340032	65536	2x8x16x128	torch.bfloat16	4d785d1d10c09ed8fa863ae8aab84bc47e20b44a12e7eb6f5c08506f38479ffe
model.layers.2.self_attn.attn	43	7405568	65536	2x8x16x128	torch.bfloat16	b3f553ba03526aa4ee36afeaf0493e18188a60eafcb77b0b9bc092c180edfd38
model.layers.2.self_attn.attn	44	7471104	65536	2x8x16x128	torch.bfloat16	43466f7bf93b72452d8fe299c14d99c5d47d9bcc2a88c894101107d4ad2a78a0
model.layers.2.self_attn.attn	45	7536640	65536	2x8x16x128	torch.bfloat16	251ec6f1dcb54b156a726bf791c82d9984b4e139375c71105fe0f90434186f18
model.layers.2.self_attn.attn	46	7602176	65536	2x8x16x128	torch.bfloat16	a2bc92f0e63e2ac85839a4789a2725e6403b168160a403d71b558cd74eeb84f1
model.layers.2.self_attn.attn	47	7667712	65536	2x8x16x128	torch.bfloat16	998ef557c728e583f850ec74ff739823911326a10ad06f5948e749d34b79c5c2
